Chinese,English,Category,Novel,Notes
神魔無懼,God-Demon Fearless,technique,Villain Kiss,System reward ability
滄瀾劍,Canglan Sword,technique,Villain Kiss,Heaven-rank sword technique
劍王傳承,Sword King Legacy,item,Villain Kiss,Sword cultivation legacy
林清塵,Lin Qingchen,character_name,Villain Kiss,Su Jue's junior sister - protagonist heroine
雲中鶴,Cloud-Riding Crane,creature,Villain Kiss,Su Jue's flying mount given by Bai Ruxue
安可,An Ke,character_name,Villain Kiss,Fourth Elder's personal disciple - senior sister accompanying Su Jue
朝歌城,Chaoge City,location,Villain Kiss,Su Jue's hometown and capital of Zhenguan Dynasty
天驕大會,Prodigy Assembly,event,Villain Kiss,Annual gathering for young cultivators to showcase talent
補天閣,Heaven-Mending Pavilion,organization,Villain Kiss,Sect with the current top female prodigy
月清漣,Yue Qinglian,character_name,Villain Kiss,Heaven-Mending Pavilion Saintess - first prodigy of Vast Earth
貞觀王朝,Zhenguan Dynasty,organization,Villain Kiss,Imperial dynasty ruling Chaoge City with Emperor-level backing
李長樂,Li Changle,character_name,Villain Kiss,Long Princess of Zhenguan Dynasty who hosts the Prodigy Assembly
死地,Death Ground,location,Villain Kiss,Sword Sect's place of atonement - extremely dangerous
劍真子,Sword True Master,character_name,Villain Kiss,First Sect Master of the Sword Sect
仙級破金丹,Immortal-Grade Golden Core Breaker,item,Villain Kiss,Pill that guarantees perfect Golden Core formation
蘇家,Su Family,organization,Villain Kiss,Top family in Chaoge City - Su Jue's birth family
魏兵,Wei Bing,character_name,Villain Kiss,Commander of Chaoge City responsible for receiving guests
欧阳昊,Ouyang Hao,character_name,10000x Return,Sect Master of Infinity Sect
无极殿,Infinity Hall,location,10000x Return,Main palace of Infinity Sect
佟有为,Tong Youwei,character_name,10000x Return,Elder from Pill Peak who staffs the Registration Hall
记名阁,Registration Hall,location,10000x Return,Where new disciples register at Immortal River Sect
炼丹峰,Pill Peak,location,10000x Return,Peak in Immortal River Sect specializing in alchemy
仙江大殿,Immortal River Hall,location,10000x Return,Main assembly hall of Immortal River Sect
七峰大比,Seven Peaks Competition,event,10000x Return,Inter-peak martial competition at Immortal River Sect
仙道大会,Immortal Dao Conference,event,10000x Return,Major gathering of cultivators across the Eastern Region
孚云宗,Fuyun Sect,organization,10000x Return,Holy Land in the Eastern Region - old beggar's sect
孟霄,Meng Xiao,character_name,10000x Return,Sect Master of Fuyun Sect
铁塔,Iron Tower,character_name,10000x Return,Left Protector of Fuyun Sect
护山,Mountain Guard,character_name,10000x Return,Right Protector of Fuyun Sect
魔猿,Demon Ape,creature,10000x Return,Half-step Sky Profound demonic beast sealed at Fuyun Sect
黑风,Black Wind,character_name,10000x Return,Moon Profound rogue cultivator - killed by Iron Tower
云煞,Cloud Fiend,character_name,10000x Return,Moon Profound rogue cultivator - Black Wind's brother
锁妖大阵,Demon-Sealing Grand Formation,technique,10000x Return,Formation that sealed the Demon Ape at Fuyun Sect
杜烟灵,Du Yanling,character_name,10000x Return,Manager of Spirit City auction house branch
鹏城,Peng City,location,10000x Return,Major city hosting the joint auction
豪瀚宗,Haohan Sect,organization,10000x Return,First-tier sect controlling Peng City region
孙宇,Sun Yu,character_name,10000x Return,Young Master of Haohan Sect
雷灵果,Thunder Spirit Fruit,item,10000x Return,Top-grade spiritual treasure that may enhance aptitude
卢坡,Lu Po,character_name,10000x Return,Pill Peak Master at Infinity Sect
宇文钧,Yuwen Jun,character_name,10000x Return,Old Ancestor of Infinity Sect
淬神丹,Soul-Tempering Pill,item,10000x Return,Ancient miraculous pill for healing divine soul injuries
神魂丹,Soul-Nurturing Pill,item,10000x Return,Substitute pill for soul injuries - less effective than Soul-Tempering Pill
五行炼丹法,Five Elements Alchemy,technique,10000x Return,Legendary alchemy technique using all five elements
冰火草,Ice-Fire Grass,item,10000x Return,Top-grade spiritual medicine for Soul-Tempering Pill
雷霆花,Thunder Flower,item,10000x Return,Top-grade spiritual medicine for Soul-Tempering Pill
幽灵果,Nether Spirit Fruit,item,10000x Return,Top-grade spiritual medicine for Soul-Tempering Pill
肖凡,Xiao Fan,character_name,No Daughter of Luck,Protagonist and Holy Son of Supreme Mystery Holy Land
青鈺,Qingyu,character_name,No Daughter of Luck,Holy Master of Supreme Mystery Holy Land and Xiao Fan's master
蘇怡韻,Su Yiyun,character_name,No Daughter of Luck,Saintess of Supreme Mystery Holy Land and one of Xiao Fan's women
薑蘭芷,Jiang Lanzhi,character_name,No Daughter of Luck,Xiao Fan's fiancée competing for Saintess at Hundred Flowers Holy Land
姬傾雪,Ji Qingxue,character_name,No Daughter of Luck,Saintess and one of Xiao Fan's women
瑜月,Yu Yue,character_name,No Daughter of Luck,One of Xiao Fan's maidservants
欣禧,Xinxi,character_name,No Daughter of Luck,One of Xiao Fan's maidservants
江叔,Uncle Jiang,character_name,No Daughter of Luck,Xiao Fan's servant who drives his carriage
白風流,Bai Fengliu,character_name,No Daughter of Luck,Holy Son of Shaman God Sect - rival
紅如霜,Hong Rushuang,character_name,No Daughter of Luck,Saintess candidate at Hundred Flowers Holy Land - Bai Fengliu's woman
太玄聖地,Supreme Mystery Holy Land,organization,No Daughter of Luck,Xiao Fan's sect - one of the great Holy Lands
百花聖地,Hundred Flowers Holy Land,organization,No Daughter of Luck,Holy Land famous for political marriages and female disciples
巫神宗,Shaman God Sect,organization,No Daughter of Luck,Rising power led by Bai Fengliu - recently battled demon race
聖主山,Holy Master Peak,location,No Daughter of Luck,Qingyu's residence at Supreme Mystery Holy Land
紅顏奪心,Heart-Stealing Beauty,technique,No Daughter of Luck,Cultivation method containing One Heart Same Body technique
一心同體,One Heart Same Body,technique,No Daughter of Luck,Technique allowing heart-sharing between two people
三轉重元丹,Triple Refined Origin Restoration Pill,item,No Daughter of Luck,Immortal pill that increases cultivation and transcendence chances
九金龍輦,Nine Golden Dragon Carriage,item,No Daughter of Luck,Xiao Fan's royal carriage pulled by nine dragons
百花爭豔台,Hundred Flowers Contest Stage,location,No Daughter of Luck,Arena for Saintess competition at Hundred Flowers Holy Land
CPU,Manipulation Technique,cultivation_term,No Daughter of Luck,Internet slang for emotional manipulation/gaslighting
夏花萱,Xia Huaxuan,character_name,No Daughter of Luck,Scheming Hundred Flowers disciple who tries to seduce Xiao Fan
費揚陽,Fei Yangyang,character_name,No Daughter of Luck,Simp-type child of destiny who pursues Xia Huaxuan
花仙秘境,Flower Fairy Secret Realm,location,No Daughter of Luck,Secret realm for Saintess team competition
掠運之劍,Fortune-Plundering Sword,item,No Daughter of Luck,Sword Xiao Fan gives to Xia Huaxuan
五行玲瓏塔,Five Elements Exquisite Pagoda,item,No Daughter of Luck,Xiao Fan's portable space item
巫族,Wu Tribe,race,No Daughter of Luck,Ancient tribe with powerful physiques - ancestors of Shaman God Sect
顛鸞倒鳳,Phoenix-and-Dragon Technique,technique,No Daughter of Luck,Dual cultivation technique with 108 positions
搖光聖地,Starlight Holy Land,organization,No Daughter of Luck,Rival Holy Land to Supreme Mystery - where Ji Qingxue spies
九轉靈參花,Nine-Turn Spirit Ginseng Flower,item,No Daughter of Luck,Rare herb Fei Yangyang gives to Xia Huaxuan
迎客峰,Welcoming Guest Peak,location,No Daughter of Luck,Guest reception area at Hundred Flowers Holy Land
仙法台,Immortal Arts Stage,location,No Daughter of Luck,Competition stage at Hundred Flowers Holy Land
安雯,An Wen,character_name,No Daughter of Luck,Hundred Flowers Holy Master - Xiao Fan's father's former flame
巫妖王,Witch-Yao King,character_name,No Daughter of Luck,Hong Rushuang's father - one of Wu Tribe's Seven Supreme Lords
三大巫將,Three Great Wu Generals,title,No Daughter of Luck,Witch-Yao King's three mightiest warriors at Grand Ascension
烏光戰甲,Dark Radiance Battle Armor,item,No Daughter of Luck,Shaman God Sect defensive armor that enhances physical body
仙蘭靈丹,Immortal Orchid Spirit Pill,item,No Daughter of Luck,Pills that give women flower-like beauty and orchid-like elegance
紫蘭仙劍,Purple Orchid Immortal Sword,item,No Daughter of Luck,Xiao Fan's father's prized sword
萬花叢,Myriad Flower Garden,location,No Daughter of Luck,An Wen's residence at Hundred Flowers Holy Land
幽暗深淵,Dark Abyss,location,No Daughter of Luck,Where Hong Rushuang's father the Witch-Yao King resides
吾王,My King,title,No Daughter of Luck,Respectful address used by subordinates to their sovereign
落葉穀,Falling Leaf Valley,organization,No Daughter of Luck,Small sect destroyed by the Wang family - Xia Huaxuan's original home
王家,Wang Family,organization,No Daughter of Luck,Mid-level clan that destroyed Falling Leaf Valley for a paradise cave dwelling
福地洞天,Paradise Cave Dwelling,location,No Daughter of Luck,Ancient blessed land containing cultivation resources and techniques
紅梅落鳳,Crimson Plum Falling Phoenix,item,No Daughter of Luck,Xiao Fan's innate fire-attribute companion immortal artifact
伴身仙器,Companion Immortal Artifact,item,No Daughter of Luck,Innate immortal artifact bonded to a cultivator from birth
左巫,Left Wu,character_name,No Daughter of Luck,Left Protector under the Witch-Yao King
花雨劍陣,Flower Rain Sword Formation,technique,No Daughter of Luck,Hundred Flowers Holy Land defensive formation
天命女巫,Heavenly Destiny Witch,title,No Daughter of Luck,Prophesied figure for the Wu Tribe's resurgence
冥神之矛,Nether God Spear,item,No Daughter of Luck,Xiao Fan's ranged attack weapon with ghost fire
神象鎮獄勁,Divine Elephant Suppressing Prison Art,technique,No Daughter of Luck,Xiao Fan's body cultivation method - grants control over hell
茉莉仙茶,Jasmine Immortal Tea,item,No Daughter of Luck,Restorative tea that calms mind and spirit
地獄之門,Gates of Hell,technique,No Daughter of Luck,Summoning gate connecting to Maha Hell
摩訶地獄,Maha Hell,location,No Daughter of Luck,Infinite hell realm where demon gods are imprisoned
幽冥犬,Nether Hound,creature,No Daughter of Luck,Demon beast from hell with Grand Ascension or higher cultivation
旺財,Wangcai,character_name,No Daughter of Luck,Xiao Fan's True Immortal Nether Hound servant - also called Truly a Dog
噬齧魔神,Gnawing Demon God,creature,No Daughter of Luck,Rat-shaped demon god that can break any defense
吞生魔神,Life-Devouring Demon God,creature,No Daughter of Luck,Rabbit-shaped demon god that consumes life force
巫神,Wu God,title,No Daughter of Luck,Deity of the Wu Tribe in the immortal realm
巫族神子,Wu Tribe Divine Son,title,No Daughter of Luck,Male celestial being sent to help Wu Tribe resurgence
巫族神女,Wu Tribe Divine Maiden,title,No Daughter of Luck,Female celestial being sent to help Wu Tribe resurgence
西符州,West Talisman Prefecture,location,No Daughter of Luck,Border city under Firmament Sect jurisdiction
擎天宗,Firmament Sect,organization,No Daughter of Luck,Cowardly sect that abandoned West Talisman Prefecture
巫神劍,Wu God Sword,item,No Daughter of Luck,Wu God's divine weapon containing sword comprehensions
萬靈血祭,Myriad Spirit Blood Sacrifice,technique,No Daughter of Luck,Wu Tribe ritual requiring blood from 30+ races
珠星城,Pearl Star City,location,No Daughter of Luck,City northwest of West Talisman Prefecture
狗頭山,Dog Head Mountain,location,No Daughter of Luck,Supreme Mystery Holy Land mountain for raising Nether Hounds
巫塵,Wu Chen,character_name,No Daughter of Luck,Wu Tribe Divine Son's real name - killed by Xiao Fan
劍鎮諸天,Sword Suppressing All Heavens,technique,No Daughter of Luck,Xiao Fan's sword technique learned from his father
黑暗麵具,Dark Mask,item,No Daughter of Luck,Mask that hides karma and fate from divination
飛仙台,Ascending Platform,location,No Daughter of Luck,Supreme Mystery Holy Land's tribulation platform
蘊靈丹,Spiritual Nurturing Pills,item,No Daughter of Luck,Pills that increase spiritual energy for cultivation
天道,Heavenly Dao,character_name,No Daughter of Luck,Female entity that controls tribulations - potential conquest target
戰仙台,Battle Immortal Platform,location,No Daughter of Luck,Supreme Mystery Holy Land's sparring arena
李雨仙,Li Yuxian,character_name,No Daughter of Luck,Older twin sister - Celestial Immortal Confucian cultivator
李雨桐,Li Yutong,character_name,No Daughter of Luck,Wu Tribe Divine Maiden and younger twin - loves only women
儒道聖院,Confucian Dao Holy Academy,organization,No Daughter of Luck,Li Yuxian's sect in the immortal realm
玄女宮,Mystic Woman Palace,organization,No Daughter of Luck,Sect where Li Yuxian will become palace master
乾坤畫卷,Qiankun Painting Scroll,item,No Daughter of Luck,Scroll containing Li Yuxian's legacy
天玄九變,Heaven Mystery Nine Transformations,technique,No Daughter of Luck,Li Yutong's shapeshifting technique
七玄破界符,Seven Mystery Realm-Breaking Talisman,item,No Daughter of Luck,Escape talisman effective against Golden Immortals
荒古腎體丹,Desolate Primordial Kidney Body Pill,item,No Daughter of Luck,Divine pill that evolves the body for dual cultivation
荒古腎體,Desolate Primordial Kidney Body,cultivation_term,No Daughter of Luck,Special physique for enhanced dual cultivation
仙靈丹,Immortal Spirit Pills,item,No Daughter of Luck,Pills to replenish immortal power
養魂丹,Soul-Nourishing Pills,item,No Daughter of Luck,Pills made from refined soul fragments to heal divine souls
龍象,Dragon-Elephant,cultivation_term,No Daughter of Luck,Advanced stage of Divine Elephant Suppressing Prison Art
萬龍巢,Myriad Dragon Nest,location,No Daughter of Luck,Where the dragon girl Long Ningbing resides
巫靈芸,Wu Lingyun,character_name,No Daughter of Luck,Wu Chen's sister - Divine Maiden of Mystic Woman Palace
十方天女陣,Ten Directions Celestial Maiden Formation,technique,No Daughter of Luck,Formation used by Mystic Woman Palace disciples
鼎定天地,Cauldron Fixes Heaven and Earth,technique,No Daughter of Luck,Nine Luminaries Heavenly Emperor Cauldron's crowd control ability
龍涎香,Dragon musk,item,No Daughter of Luck,Fragrant substance from dragons
玄關殿,Mystic Gateway Hall,location,No Daughter of Luck,Hall in Supreme Mystery Holy Land
血靈聖地,Blood Spirit Holy Land,organization,No Daughter of Luck,Demonic sect that killed Su Yiyun's family
血魂宗,Blood Soul Sect,organization,No Daughter of Luck,Immortal realm sect - Blood Spirit Holy Land's origin
殘魂仙王,Remnant Soul Immortal King,character_name,No Daughter of Luck,Immortal King whose presence caused Su Yiyun's family massacre
兩界門,Two Realms Gate,item,No Daughter of Luck,Allows travel between mortal and immortal realms
萬願珠,Myriad Wishes Pearl,item,No Daughter of Luck,Transforms into any immortal artifact - gift from Qingyu
紫蘭仙劍,Purple Orchid Immortal Sword,item,No Daughter of Luck,Sword that makes orchids grow from corpses - Xiao Fan's father's keepsake
肖安,Xiao An,character_name,No Daughter of Luck,Xiao Fan's nineteenth uncle - young cultivator
瀚海星辰天玄甲,Vast Sea Stellar Heaven Mystery Armor,item,No Daughter of Luck,Defensive sacred artifact from Xiao Fan's mother
混元無極盧宇梭,Primordial Boundless Lu Yu Shuttle,item,No Daughter of Luck,Speed-enhancing sacred artifact from Xiao Fan's mother
七寶紫葫蘆,Seven Treasures Purple Gourd,item,No Daughter of Luck,Defensive sacred artifact that produces pills
七寶仙丹,Seven Treasures Immortal Pill,item,No Daughter of Luck,All-purpose pill from Seven Treasures Purple Gourd
大道聖器,Great Dao Sacred Artifact,cultivation_term,No Daughter of Luck,Top-tier sacred artifacts above immortal artifacts
太古女天使,Primordial Female Angels,creature,No Daughter of Luck,Female version of Primordial Angels guarding Su Yiyun
蘇雲,Su Yun,character_name,Villain Refused Script,Protagonist and Su family young master
蘇恆,Su Heng,character_name,Villain Refused Script,Su Yun's father - one of China's six strongest Divine Spirits
云然,Yun Ran,character_name,Villain Refused Script,Su Yun's personal attendant
喬志強,Qiao Zhiqiang,character_name,Villain Refused Script,President of Azure Blue Auction House
軒轅劍,Xuanyuan Jian,character_name,Villain Refused Script,Female sword cultivator from the Xuanyuan family
葉凌,Ye Ling,character_name,Villain Refused Script,Original protagonist with God-Devil Pendant
柳婷,Liu Ting,character_name,Villain Refused Script,Woman associated with Ye Ling who schemes against him
孟無道,Meng Wudao,character_name,Villain Refused Script,Meng family young master with Taotie Martial Soul
王逸,Wang Yi,character_name,Villain Refused Script,Wang family prodigy in Imperial Capital
蘇猛,Su Meng,character_name,Villain Refused Script,Su family member suppressed by Su Yun
氣血境,Qi-Blood Realm,cultivation_realm,Villain Refused Script,Physical cultivation stage focused on tempering the body
神玄境,Divine Profound Realm,cultivation_realm,Villain Refused Script,Stage after Qi-Blood - controls heaven and earth energy
天靈境,Heaven Spirit Realm,cultivation_realm,Villain Refused Script,Higher cultivation realm above Divine Profound
玄宮境,Profound Palace Realm,cultivation_realm,Villain Refused Script,Cultivation realm above Divine Profound
龍之力,Dragon's Power,cultivation_term,Villain Refused Script,Measure of Divine Profound strength - 99 elephants = 1 dragon
象之力,Elephant's Power,cultivation_term,Villain Refused Script,Basic measure of Divine Profound strength
九轉玄元功,Nine-Turn Profound Origin Art,technique,Villain Refused Script,Su Yun's primary cultivation method
伏羲武魂,Fuxi Martial Soul,cultivation_term,Villain Refused Script,Su Yun's martial soul - ancient Divine Spirit bloodline
伏羲八卦陣,Fuxi Bagua Formation,technique,Villain Refused Script,Su Yun's formation technique using his Fuxi bloodline
神魔佩,God-Devil Pendant,item,Villain Refused Script,Ye Ling's greatest treasure - split in two halves
神魔經,God-Devil Scripture,technique,Villain Refused Script,Cultivation method from the God-Devil Pendant
溝通萬物,Communicate with All Things,technique,Villain Refused Script,Su Yun's ability to perceive through objects
源石,Origin Stone,item,Villain Refused Script,Currency in the cultivation world
金泉神鐵礦,Golden Spring Divine Iron Mine,location,Villain Refused Script,Mining contract Liu Ting wants to acquire
獸皮卷軸,Beast Hide Scroll,item,Villain Refused Script,Auction item with sword technique inscription
蔚藍拍賣行,Azure Blue Auction House,organization,Villain Refused Script,Major auction house in Imperial Capital
蔚藍聯邦,Federation of Azure Blue,organization,Villain Refused Script,Human federation after spiritual qi resurgence
天字號包廂,Heaven-Class Private Room,location,Villain Refused Script,Most exclusive VIP room at auction house
荒字號包廂,Wasteland-Class Private Room,location,Villain Refused Script,VIP room at auction house
洪字號包廂,Flood-Class Private Room,location,Villain Refused Script,VIP room at auction house
蘇家,Su Family,organization,Villain Refused Script,Divine-level family in China
孟家,Meng Family,organization,Villain Refused Script,Powerful family with multiple Saints
王家,Wang Family,organization,Villain Refused Script,Major family in Imperial Capital with Saint ancestor
軒轅家,Xuanyuan Family,organization,Villain Refused Script,Xuanyuan Jian's family
武魂,Martial Soul,cultivation_term,Villain Refused Script,Innate spiritual manifestation of one's power
神靈,Divine Spirit,cultivation_realm,Villain Refused Script,Supreme beings beyond mortal Saints
神靈道蘊,Divine Spiritual Essence,cultivation_term,Villain Refused Script,Dao essence emanated by Divine Spirits
魔血雄獅,Demonic Blood Lion,creature,Villain Refused Script,Ancient ferocious beast clan - Saint level
三尾妖狐,Three-Tailed Fox Demon,creature,Villain Refused Script,Young fox demon auctioned as companion/cauldron
烈火王,General Flame King,character_name,Villain Refused Script,Military leader who exterminated Demonic Blood Lions
秦君華,Qin Junhua,character_name,Villain Refused Script,Su Yun's mother - powerful cultivator who supports his position
秦盈,Qin Ying,character_name,Villain Refused Script,Qin Junhua's personal attendant
蘇盈,Su Ying,character_name,Villain Refused Script,Su family direct descendant - daughter of Chaos Heavenly King Su Lie
蘇烈,Su Lie,character_name,Villain Refused Script,Chaos Heavenly King - Su Ying's father and Su family Saint
蘇勇,Su Yong,character_name,Villain Refused Script,Su Meng's father - former strongest candidate for Su family patriarch
忠伯,Steward Zhong,character_name,Villain Refused Script,Steward helping Su Meng escape through secret passages
福伯,Steward Fu,character_name,Villain Refused Script,Su Lie's steward - Heaven Spirit Realm powerhouse
軒轅厲,Xuanyuan Li,character_name,Villain Refused Script,Xuanyuan family heir who targets Xuanyuan Jian
混天王,Chaos Heavenly King,title,Villain Refused Script,Su Lie's title as a Saint-level powerhouse
混天王府,Chaos Heavenly King's Manor,location,Villain Refused Script,Su Lie's residence in Su family compound
十八營,Eighteen Battalions,organization,Villain Refused Script,Su family's military units - Su Yun commands five
軒轅劍武魂,Xuanyuan Sword Martial Soul,cultivation_term,Villain Refused Script,Xuanyuan Jian's martial soul - ancient divine weapon
氣運之子,Son of Destiny,cultivation_term,Villain Refused Script,Male blessed by fate - refers to Ye Ling
氣運之女,Daughter of Destiny,cultivation_term,Villain Refused Script,Female blessed by fate - refers to Xuanyuan Jian
清北學院,Qingbei Academy,organization,Villain Refused Script,Academy where Su Yun and others study
凌雲學院,Lingyun Academy,organization,Villain Refused Script,Academy Su Meng was expelled from
蘇劍,Su Jian,character_name,Villain Refused Script,Swordless Heavenly King - strongest under Divine Spirits in China
無劍天王,Swordless Heavenly King,title,Villain Refused Script,Su Jian's title - earned by single-handedly destroying an ancient clan
阿福,Steward Fu,character_name,Villain Refused Script,Chaos Heavenly King's manor steward - killed by Yun Ran
凌燕,Ling Yan,character_name,Villain Refused Script,Woman who monitored Su Meng and provided intel to Su Yun
暗姬,Dark Lady,character_name,Villain Refused Script,Su Yun's servant skilled in interrogation
凌家,Ling Family,organization,Villain Refused Script,Minor vassal family of the Su family - Ling Yan's clan
少主令,Young Master Token,item,Villain Refused Script,Su family heir's token of authority - Divine Spirit treasure
天王令,Heavenly King Token,item,Villain Refused Script,Token representing a Heavenly King's authority
主母令,Matriarch Token,item,Villain Refused Script,Token of the patriarch's wife Qin Junhua
五行神營,Five Elemental Divine Battalions,organization,Villain Refused Script,Five of the Eighteen Battalions controlled by the heir
金神營,Metal Divine Battalion,organization,Villain Refused Script,One of the Five Elemental Divine Battalions
木神營,Wood Divine Battalion,organization,Villain Refused Script,One of the Five Elemental Divine Battalions
水神營,Water Divine Battalion,organization,Villain Refused Script,One of the Five Elemental Divine Battalions
火神營,Fire Divine Battalion,organization,Villain Refused Script,One of the Five Elemental Divine Battalions
土神營,Earth Divine Battalion,organization,Villain Refused Script,One of the Five Elemental Divine Battalions
萬神衛,Ten-Thousand God Guard,title,Villain Refused Script,Commander of each battalion - Saint-level powerhouse
地獄烈火,Hellfire,technique,Villain Refused Script,Fire that burns divine sense and soul - used for torture
破妄神瞳,Delusion-Breaking Divine Eyes,technique,Villain Refused Script,Divine ability to perceive karma and destiny
暗魂衛,Shadow Soul Guards,organization,Villain Refused Script,Su Yun's intelligence operatives
天媚之體,Heavenly Seduction Body,cultivation_term,Villain Refused Script,Yun Ran's physique - provides yin energy for dual cultivation
軒轅澤,Xuanyuan Ze,character_name,Villain Refused Script,Xuanyuan family patriarch - has ignited divine fire
星辰流光裙,Starlight Flowing Radiance Dress,item,Villain Refused Script,Dress for Su family heir's principal wife - Divine Spirit treasure
混天鐲,Chaos Sky Bracelet,item,Villain Refused Script,Qin Junhua's dowry item from the Qin family
貔貅一族,Pixiu Clan,organization,Villain Refused Script,Su family's enemy - Federation's adversary
神農氏,Divine Farmer Shennong,cultivation_term,Villain Refused Script,Ancient Earthly Emperor - his legacy can awaken sealed martial souls
血煞陣紋,Blood Fiend Formation,technique,Villain Refused Script,Formation used by Xuanyuan Ze to seal Xuanyuan Jian's martial soul
五行神陣,Five Elements Divine Formation,technique,Villain Refused Script,Combined formation of Five Divine Generals - can threaten Divine Spirits
軒轅劍訣,Xuanyuan Sword Art,technique,Villain Refused Script,Xuanyuan family's transmitted Divine Spirit scripture
秦盈,Qin Ying,character_name,Villain Refused Script,Qin Junhua's personal handmaiden from the Qin family
大秦仙池,Great Qin Immortal Pool,location,Villain Refused Script,Qin family's sacred grounds with cultivation opportunities
葵水之體,Sunflower Water Physique,cultivation_term,Villain Refused Script,Liu Ting's physique - aids dual cultivation similar to Heavenly Seduction Body
崑崙鏡,Kunlun Mirror,item,Villain Refused Script,Ancient supreme divine artifact - controls space and time
混沌鍾,Chaos Bell,item,Villain Refused Script,Su family's clan-guarding divine artifact - can annihilate Divine Spirits
家主令,Patriarch Token,item,Villain Refused Script,Su family patriarch's token - can summon the Chaos Bell
神子,Divine Son,title,Villain Refused Script,Biological child of a founding Divine Spirit - extremely ancient powerhouse
紫霄宮,Purple Heaven Palace,location,Villain Refused Script,Dojo of Hongjun Daozu - connected via God-Devil Pendant
鴻鈞道祖,Hongjun Daozu,character_name,Villain Refused Script,Supreme Divine Spirit of Chinese mythology - created God-Devil Scripture
神魔經,God-Devil Scripture,technique,Villain Refused Script,Hongjun Daozu's cultivation method - focuses on primordial spirit
混沌神龍,Chaos Dragon,cultivation_term,Villain Refused Script,Power manifestation in Divine Profound Realm - each dragon equals one level of power
軒轅沖,Xuanyuan Chong,character_name,Villain Refused Script,Xuanyuan Ze's cousin - Divine Sword Heavenly King - becomes alternate council member
神劍天王,Divine Sword Heavenly King,title,Villain Refused Script,Xuanyuan Chong's title - high-ranking military figure in Federation
軒轅神,Xuanyuan Shen,character_name,Villain Refused Script,Divine Son of Xuanyuan family founder - sealed in Divine Source for 1500 years
軒轅雅,Xuanyuan Ya,character_name,Villain Refused Script,Su Lie's wife and Xuanyuan Ze's younger sister
神源,Divine Source,location,Villain Refused Script,Where ancient powerhouses seal themselves to extend lifespan
蠻族,Barbarian Tribes,organization,Villain Refused Script,Enemy faction Su Heng is campaigning against
最高議會,Supreme Council,organization,Villain Refused Script,Human race's governing body - 18 members and 108 alternates
候補議員,Alternate Member,title,Villain Refused Script,One of 108 alternate positions on the Supreme Council
議員,Council Member,title,Villain Refused Script,One of 18 full member positions on the Supreme Council
候補繼承人,Alternate Heir,title,Villain Refused Script,Secondary heir position - unprecedented in Xuanyuan family
遠古魔神傳承,Ancient Demon God Legacy,cultivation_term,Villain Refused Script,Xuanyuan Li's hidden inheritance - source of demon god power
魔神營,Demon God Battalion,organization,Villain Refused Script,One of the Su family's eighteen battalions
雷神營,Thunder God Battalion,organization,Villain Refused Script,One of the Su family's eighteen battalions
電神營,Lightning God Battalion,organization,Villain Refused Script,One of the Su family's eighteen battalions
風神營,Wind God Battalion,organization,Villain Refused Script,One of the Su family's eighteen battalions
魔神將,Demon God General,title,Villain Refused Script,Commander of the Demon God Battalion
蘇洪,Su Hong,character_name,Villain Refused Script,Su family elder - ignited divine fire - Su Heng's grand-uncle
蘇毅輝,Su Yihui,character_name,Villain Refused Script,Peak Saint managing Su family's worldwide mines - former friend of Su Yong
風神將,Wind God General,title,Villain Refused Script,Commander of the Wind God Battalion
雷神將,Thunder God General,title,Villain Refused Script,Commander of the Thunder God Battalion
電神將,Lightning God General,title,Villain Refused Script,Commander of the Lightning God Battalion
李毅,Li Yi,character_name,Villain Refused Script,Kunlun Daoist Sect alternate Dao Child - disciple of True Feather Divine Spirit
崑崙道門,Kunlun Daoist Sect,organization,Villain Refused Script,One of the three great Daoist sects - possesses deep heritage
真羽道神,True Feather Divine Spirit,character_name,Villain Refused Script,Famous female Divine Spirit of China - Li Yi's master
陰陽道經,Yin-Yang Dao Scripture,technique,Villain Refused Script,Kunlun Daoist Sect cultivation method using yin and yang energy
先天道體,Innate Dao Body,cultivation_term,Villain Refused Script,Supreme physique of the Daoist path - Su Yayue possesses this
候補道子,Alternate Dao Child,title,Villain Refused Script,Secondary heir position in Daoist sects
道子,Dao Child,title,Villain Refused Script,Primary heir position in Daoist sects
天女宗,Celestial Maiden Sect,organization,Villain Refused Script,One of the three great Daoist sects
問道經,Inquiry of the Dao Scripture,technique,Villain Refused Script,Cultivation method that awakens the Innate Dao Body
道女,Dao Maiden,title,Villain Refused Script,High status female disciple in Daoist sects
蘇雅月,Su Yayue,character_name,Villain Refused Script,Female cultivator with Innate Dao Body - member of Su Yun's personal guard
凌霄道教,Lingxiao Daoist Sect,organization,Villain Refused Script,One of the three great Daoist sects
心魔丹,Heart Demon Pill,item,Villain Refused Script,Control pill that binds to the primordial spirit - forces lifelong loyalty
青木天王,Green Wood Heavenly King,title,Villain Refused Script,Su Zhi's title as a Saint-level powerhouse
蘇志,Su Zhi,character_name,Villain Refused Script,Green Wood Heavenly King - Su family Saint
道遠,Dao Yuan,character_name,Villain Refused Script,Kunlun Daoist Sect's current Dao Child - 98 dragon power prodigy enslaved by Su Yun
崑崙道神,Kunlun Divine Spirit,character_name,Villain Refused Script,Sect Master of Kunlun Daoist Sect - half-step strongest Divine Spirit
道器,Dao Artifact,item,Villain Refused Script,Artifacts refined by Daoist cultivators
